en,it,pos,description
"bulleted list","elenco puntato",noun,
button,pulsante,noun,
"call to action","invito all'azione",expression,
callback,callback,noun,"Identifica una funzione senza nome chiamata dopo che un'altra funzione termina la sua esecuzione.
Lasciare invariato, declinare al femminile. In italiano non si riportano le s del plurale."
callout,"invito all'azione",noun,"generalmente riferito a un pulsante"
cancel,annulla,verb,
cancelled,annullato,adjective,
capability,capacità,noun,"'capacità' se riferito ai permessi di un utente; 'funzionalità' se riferito a un software"
caption,didascalia,noun,
cart,carrello,noun,
category,categoria,noun,
changelog,changelog,noun,
changeset,changeset,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
"Cheatin' huh","Vuoi barare, eh",noun,
checkbox,checkbox,noun,"Elemento di form. Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
checked,selezionato,adjective,
checkout,pagamento,noun,"quando si riferisce all'etichetta di una sezione di pagamento di un plugin;
traducibile anche come:
Riepilogo ordine — intestazione della pagina di riepilogo o testo del pulsante che porta alla pagina

Rimane invariato se inserito in ambito alberghiero: checkout (come opposto di checkin)"
checkout,paga,verb,"quando riferito al pulsante per procedere al pagamento vero e proprio;
traducibile anche come:
Procedi con l’ordine — in caso di pulsante che conferma l’ordine (con successivo obbligo di pagamento) "
child,figlio/bambino,noun,"Fare attenzione se riferito a theme, nel caso mantenere child"
"child theme","tema child",expression,
citation,fonte,noun,"Quando riguarda una citazione se abbinata a ""quote"" o ""pullquote""."
Classic,"Editor classico",noun,"Riferito al nome del blocco di Gutenberg"
"Classic Editor","Classic Editor",noun,"Riferito al plugin Classic Editor"
click,clic,noun,"Senza K finale (clic, NON click)"
click,"fai clic",verb,"Non utilizzare mai il neologismo ""cliccare"""
clicked,cliccato,adjective,"ATTENZIONE: si usa cliccato solo quando è aggettivo. Diversamente, quando participio passato, si traduce con ""fatto clic"" (es the user has clicked=l'utente ha fatto clic)"
clicking,"facendo clic",verb,"Mai mai mai cliccando!"
"code editor","editor del codice",noun,
codebase,codebase,noun,
"color picker","selettore colore",expression,
comment,commento,noun,
comment,commenta,verb,
community,Community,noun,"Usare Community nell'ambito dei progetti WordPress, altrimenti tradurre in base al contesto se riferito ad altro."
constant,costante,noun,
cookie,cookie,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
"cookie policy","cookie policy",expression,"Lasciare invariato. Declinare al femminile. In italiano non si riportano le s del plurale."
cover,copertina,noun,"Mantenere in originale nel caso dell'attributo CSS"
cover,copri,verb,"Mantenere in originale nel caso dell'attributo CSS"
custom,personalizzato,adjective,
"custom CSS","CSS personalizzato",expression,
Customizer,Personalizza,noun,
Dashboard,Bacheca,noun,
"data breach","violazione dei dati",noun,
"Data Liberation","Data Liberation",expression,"Nel contesto del progetto ""Data Liberation"" di WordPress.org rimane invariato. Se necessario anteporre la parola ""progetto""."
"data picker","selettore della data",expression,
"data time picker","selettore data e ora",expression,
dataview,"visualizzazione dei dati",noun,
default,predefinito,noun,
delete,elimina,verb,
deleted,eliminato,adjective,
"demi bold",semigrassetto,noun,"Quando riferito al peso (spessore) del font. Nelle specifiche OpenType corrisponde al peso 600."
demi-bold,semigrassetto,noun,"Quando riferito al peso (spessore) del font. Nelle specifiche OpenType corrisponde al peso 600."
deprecated,deprecato,adjective,
descending,decrescente,noun,
directory,directory,noun,"Lasciare invariato. Declinare al femminile. In italiano non si riportano le s del plurale.
"
disable,disabilita,verb,
disabled,disabilitato,adjective,
dismiss,ignora,verb,
display,visualizza,verb,
"distraction free","senza distrazioni",expression,"A seconda del contesto si può anche usare Modalità senza distrazioni"
domain,dominio,noun,
down,giù,noun,"""giù"" se riferito a uno spostamento; ""sotto"" se riferito a una posizione; ""fuori servizio"" se riferito a un server o a un servizio"
draft,bozza,noun,
"drag and drop","trascina e rilascia",expression,
drag-and-drop,"trascina e rilascia",expression,
"drop down","menu a discesa",noun,
drop-down,"menu a discesa",noun,
dropdown,"menu a discesa",noun,
duotone,bicromia,noun,
e-commerce,e-commerce,noun,
e-mail,email,noun,
ecommerce,e-commerce,noun,
editor,editor,noun,"Nel senso di strumento: “editor di testo”. Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
editor,editore,noun,"Nel senso di ruolo in un sito.
"
email,email,noun,"Lasciare invariato. Declinare al femminile. In italiano non si riportano le s del plurale."
"email address","indirizzo email",expression,
embed,incorpora,verb,
embed,"oggetto incorporato",noun,"generico e quando riferito al nome del blocco in Gutenberg"
embedded,incorporato,adjective,
emoticon,emoticon,noun,"Lasciare invariato. Declinare al femminile. In italiano non si riportano le s del plurale."
enable,abilita,verb,
enabled,abilitato,adjective,
endpoint,endpoint,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
enter,inserisci,verb,
Enter,Invio,noun,"Tasto Invio"
error,errore,noun,
escape,escludere,noun,
example.com,example.com,noun,
example.net,example.net,noun,
example.org,example.org,noun,
excerpt,riassunto,noun,
expires,scade,verb,"es. the cookie expires after 1 day"
expiring,"in scadenza",adjective,
"extra black","nero accentuato",noun,"Quando riferito al peso (spessore) del font. Nelle specifiche OpenType corrisponde al peso 950."
"extra bold","grassetto accentuato",noun,"Quando riferito al peso (spessore) del font. Nelle specifiche OpenType corrisponde al peso 800."
"extra light",chiarissimo,noun,"Quando riferito al peso (spessore) del font. Nelle specifiche OpenType corrisponde al peso 200."
extra-black,"nero accentuato",noun,"Quando riferito al peso (spessore) del font. Nelle specifiche OpenType corrisponde al peso 950."
extra-bold,"grassetto accentuato",noun,"Quando riferito al peso (spessore) del font. Nelle specifiche OpenType corrisponde al peso 800."
extra-light,chiarissimo,noun,"Quando riferito al peso (spessore) del font. Nelle specifiche OpenType corrisponde al peso 200."
"F j g:i a","j F G:i",expression,"Il formato delle date e degli orari va localizzato."
"F j, Y g:i a","j F Y G:i",expression,"Il formato delle date e degli orari va localizzato."
fallback,"di riserva",adjective,
FAQ,FAQ,noun,"Lasciare invariato. Declinare al femminile. In italiano non si riportano le s del plurale. "
"fatal error","errore irreversibile",expression,
feature,caratteristica,noun,"In alcuni casi anche funzionalità"
"featured image","immagine in evidenza",expression,
feed,feed,noun,"Lasciare invariato. Declinare al maschile."
feedback,feedback,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
file,file,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
filter,filtro,noun,
"filter hook","filter hook",expression,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
fix,correzione,noun,
fix,correggi,verb,
fixed,corretto,adjective,"A seconda del contesto:
Corretto – quando riferito a bug
Fisso – in contesto non tecnico ma descrittivo
Fixed – invariato quando riferito a classi CSS
"
"fixed payment","pagamenti rateizzati",noun,"Si trova principalmente in contesti di e-commerce"
flag,segnalazione,noun,"Contesto: segnalazione di un utente ad es: per contenuto inappropriato. Per altri significati contestualizzare: bandiera, ..."
flag,segnala,verb,"Contesto: segnalare un utente ad es: per contenuto inappropriato. In altri contesti: ""contrassegnare"", ""contrassegnare come"""
focusable,"che possono ricevere il focus",noun,
folder,cartella,noun,
follower,follower,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
font,font,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
"font collection","raccolta di font",expression,
"font face",font,expression,"Se riferito alla funzionalità presente nell'editor di WordPress"
"font family","famiglia di font",expression,
"font size","dimensione del font",expression,
"font weight","font weight",expression,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
font-face,font-face,noun,"Regola CSS lasciare invariato."
footer,footer,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale.
"
form,modulo,noun,"es. modulo di contatto"
forum,forum,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale.
"
free,gratuito,adjective,"Due possibili traduzioni:
Gratuito – quando riferito a pagamenti
Libero – per licenze software e altri contesti non relativi a pagamenti"
"free software","software libero",expression,
"Frequently Asked Questions","domande frequenti",noun,
"front end",frontend,noun,"Lasciare invariato, senza spazio. Declinare al maschile.  In italiano non si riportano le s del plurale."
"front page","home page",noun,
front-end,frontend,noun,"Lasciare invariato, senza trattino. Declinare al maschile. In italiano non si riportano le s del plurale."
frontend,frontend,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
frontpage,"home page",noun,
"Full Site Editing","Full Site Editing",noun,"Riferito alla possibilità di modificare l'intero sito con l'editor a blocchi"
"full width","larghezza piena",noun,
full-width,"larghezza piena",noun,
fullwidth,"larghezza piena",noun,
"g:i a",G:i,expression,"Il formato delle date e degli orari va localizzato."
"g:i a T","H:i T",expression,"Il formato delle date e degli orari va localizzato."
"g:i:s a",H:i:s,expression,"Il formato delle date e degli orari va localizzato."
gallery,galleria,noun,
"global styles","stili globali ",noun,
globals,"variabili globali",noun,
"grid view","vista griglia",expression,
ham,ham,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
header,header,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
"header (html)",header,noun,"Lasciare invariato. Maschile"
"header image","immagine dell'header",noun,
headline,motto,noun,"Nel caso del pannello di personalizzazione di WP; tradurre come ""intestazione"" nel caso si parli di un titolo principale o generico."
heavy,scuro,noun,"Quando riferito al peso (spessore) del font. Nelle specifiche OpenType corrisponde al peso 900."
height,altezza,noun,
"hidden input","campo nascosto",expression,
highlights,"in evidenza",noun,"la traduzione è da contestualizzare, inserendo l'opportuno sinonimo che è messo ""in evidenza"""
hit,hit,noun,
"home page",homepage,noun,
homepage,homepage,noun,
hook,hook,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
host,host,noun,
host,ospita,verb,
"hosting provider","fornitore di hosting",noun,
hover,"al passaggio del mouse",noun,"Se per necessità la traduzione deve occupare poco spazio lasciare invariato (hover) e declinare al maschile."
howdy,ciao,expression,
hyperlink,"collegamento ipertestuale",noun,
icon,icona,noun,
ID,ID,noun,"Lasciare invariato, sempre tutto maiuscolo. Declinare al maschile. In italiano non si riportano le s del plurale.
"
image,immagine,noun,
import,importa,verb,
input,input,noun,"Lasciare invariato, al maschile. Talvolta, però può assumere altri significati come campo, elemento... Quindi FARE SEMPRE riferimento al contesto."
inserter,"pannello di inserimento",noun,
"Installing Plugin: %s","Installazione del plugin in corso: %s",expression,
invalid,"non valido",adjective,
"IP address","indirizzo IP",noun,
item,elemento,noun,"ATTENZIONE: in base al contesto può essere necessario scegliere l'uso di termini più specifici come ad esempio articolo o voce"
"knowledge base",documentazione,expression,
label,etichetta,noun,
"label (html)",label,expression,
"landing page","landing page",noun,"Lasciare invariato. Declinare al femminile. In italiano non si riportano le s del plurale."
"landmark roles","attributi di ruolo",noun,
last,durare,verb,"es. login cookies last for 2 days - i cookie di accesso durano 2 giorni"
layout,layout,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
"lazy loading","lazy loading",expression,
Learn,Learn,noun,"se riferito al progetto Learn WordPress"
"learn more",approfondisci,expression,
"Learn WordPress","Learn WordPress",expression,"nome del progetto"
"learning pathway","percorso di apprendimento",expression,
legacy,legacy,noun,
"lesson plan","piano di lezione",expression,"Riferito al progetto Learn"
"lesson plans","piani di lezione",expression,"Riferito al progetto Learn"
"letter spacing","spaziatura tra caratteri",expression,
"license key","chiave della licenza",expression,
light,chiaro,noun,"Quando riferito al peso (spessore) del font. Nelle specifiche OpenType corrisponde al peso 300."
link,link,noun,
link,collega,verb,"Se riferito ai link web, lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale. In tutti gli altri casi tradurre come Collegamento."
"list view","vista elenco",expression,
"live demo","demo live",expression,
lock,blocca,verb,"Quando riferita all'altezza si può utilizzare ""fissa"""
"log in",accedi,verb,
"log out",disconnessione,noun,
"log out",esci,verb,
"logged in",connesso,adjective,
"logged out",disconnesso,adjective,
login,accesso,noun,
loop,loop,noun,"Nel contesto della programmazione, si può dire che un ciclo o uno script è in loop per indicare che non terminerà mai. 
Nel contesto dell'audio è di uso comune ""loop audio"" per indicare la ripetizione di un brano.
Se loop è riferito a una struttura ciclica tipo ""for o while"" si più tradurre con il termine ciclo."
"M j, Y g:i A","j M Y H:i",expression,"Il formato delle date e degli orari va localizzato."
marker,indicatore,noun,
masonry,masonry,noun,
match,corrispondenza,noun,"ALTRE POSSIBILI TRADUZIONI: partita (quando il termine è utilizzato in ambito sportivo)"
maxlenght,"lunghezza massima",noun,
media,media,noun,"Lasciare invariato. Plurale."
"media library","libreria dei media",expression,
medium,medio,noun,"Quando riferito al peso (spessore) del font. Nelle specifiche OpenType corrisponde al peso 500."
"menu item","voce di menu",expression,
meta,meta,noun,"lasciare invariato, a meno che non si riferisca ai metadati"
metadata,metadato,noun,
minify,minifica,verb,"è un neologismo, generalmente usato in ambiente di sviluppo. Per approfondimenti: html.it"
minlenght,"lunghezza minima",noun,
miscellaneous,varie,noun,
modal,modal,noun,"lasciare invariato"
moderate,modera,verb,
"more info","maggiori informazioni",expression,"Utilizzare approfondisci in caso sia necessaria la forma breve."
multisite,multisito,noun,
"n/j/Y g:i A","d/m/Y H:i",expression,"Il formato delle date e degli orari va localizzato."
namespace,namespace,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
"namespace prefix","namespace prefix",expression,"Lasciare invariato.  In italiano non si riportano le s del plurale."
navigation,navigazione,noun,
network,"network o rete",noun,"In base al contesto si può decidere se tradurlo; in caso di contesto tecnico lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
"newer comments","commenti più recenti",noun,
"next post","articolo successivo",noun,
"nick name",nickname,noun,
nickname,nickname,noun,
nightly,nightly,noun,"Sottinteso ""versione nightly"". Lasciare invariato. Declinare al femminile. In italiano non si riportano le s del plurale. "
"nightly build","nightly build",expression,"Lasciare invariato. Declinare al femminile. In italiano non si riportano le s del plurale. "
"nightly version","versione nightly",expression,
"non breaking space","spazio unificatore",noun,
"non-breaking space","spazio unificatore",noun,
"nonbreaking space","spazio unificatore",noun,
nonce,nonce,noun,"Lasciare invariato, tutto in minuscolo. Declinare al maschile. In italiano non si riportano le s del plurale."
normal,normale,noun,"Quando riferito al peso (spessore) del font. Nelle specifiche OpenType corrisponde al peso 400."
note,nota,noun,
notifications,notifiche,noun,
off,off,noun,"Lasciare invariato quando riferito a un pulsante o stato, tradurre nel caso di preposizione e tutti gli altri casi"
"off canvas",off-canvas,noun,
off-canvas,off-canvas,noun,
offset,offset,noun,"Lasciare invariato. Declinare al maschile. 
Utilizzare ""scostamento"" quando indica ad esempio lo scostamento tra due date. Utilizzare ""sfalsato"" per indicare la disposizione di elementi grafici."
"older comments","commenti meno recenti",noun,
"older posts","articoli meno recenti",expression,
on,on,noun,"Lasciare invariato quando riferito a un pulsante o stato, tradurre in caso di preposizione e in tutti gli altri casi"
option,opzione,noun,
optional,facoltativo,noun,
order,ordine,noun,"ALTRA POSSIBILE TRADUZIONE: ordinamento
Traduciamo come ”ordinamento” nel caso in cui il termine sia riferito all’azione di mettere in ordine una serie di elementi"
order,ordina,verb,"Tradurre come ”ordina” quando si riferisce a pulsanti e link"
overlay,overlay,noun,"Si può utilizzare “sovrapposizione” in contesti di layout grafici; nota bene: quando è riferito a dei processi informatici va lasciato invariato. In italiano non si riportano le s del plurale."
override,sovrascrittura,noun,"Contesto: editor e full site editing, dove possibile esprimerlo al singolare in quanto funzionalità"
padding,"spaziatura interna",noun,
page,pagina,noun,
pagination,paginazione,noun,
parameter,parametro,noun,
parent,genitore,noun,
password,password,noun,"Lasciare invariato. Declinare al femminile. In italiano non si riportano le s del plurale."
"password input","campo della password",expression,
path,percorso,noun,
pattern,pattern,noun,"In alcuni casi e comunque al di fuori del contesto del Full Site Editing, se ritenuto più opportuno può essere utilizzato anche ""modello""."
pending,"in attesa",adjective,
permalink,permalink,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
permission,autorizzazione,noun,
pingback,pingback,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
pixelation,sgranatura,noun,
pixelation,sgranato,adjective,
Please,"NON SI TRADUCE",noun,"Nelle frasi che iniziano con Please come ad esempio ""Please try again later"" nella traduzione in italiano NON ha senso riportare il ""Per favore"" non essendo di uso comune nei messaggi inviati da un computer. Eliminarlo e tradurre la frase senza il ""Per favore""."
plugin,plugin,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale.
"
post,pubblica,verb,
post,articolo,noun,
"post thumbnail","immagine in evidenza",expression,
"post type","post type",noun,"Se è tecnico lasciare invariato. Declinare al maschile. Se non è tecnico: tipo di contenuto"
"post types","post type / tipo di contenuto",noun,"Se non è tecnico: tipi di contenuto Se è tecnico lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
"poster image","immagine di copertina",noun,
"powered by","powered by",expression,"Lasciare invariato"
pre-packaged,incorporato,noun,
preload,precaricamento,noun,
preload,precarica,verb,
preset,preimpostazione,noun,"Usare preimpostazione nell'ambito dell'editor di WordPress, tradurre nel modo più appropriato per altri contesti (es: in ambito musicale si può lasciare invariato, ...)"
preset,preimpostare,verb,
preview,"vedi l'anteprima",verb,
preview,anteprima,noun,
"previous post","articolo precedente",expression,
"privacy policy","privacy policy",expression,"Lasciare invariato. Declinare la femminile. In italiano non si riportano le s del plurale."
processed,elaborato,adjective,
profile,profilo,noun,
"Proudly powered by","Proudly powered by",expression,"lasciare invariato"
purge,svuota,verb,"riferito alla cache"
query,query,noun,"Lasciare invariato. Declinare al femminile. In italiano non si riportano le s del plurale."
query,"effettua una query",verb,
"query loop","query loop",noun,
"radio button","radio button ",noun,"Elemento di form. Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
"read more","leggi tutto",expression,
redirect,reindirizza,verb,
referer,referer,noun,"Referer è un termine tecnico utilizzato per sapere da quale pagina si è arrivati a quella attuale e raramente vuol dire riferimento in ambito informatico che è reference. 
Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
refresh,aggiorna,verb,
refresh,ricarica,verb,
regular,normale,noun,"Quando riferito al peso (spessore) del font. Nelle specifiche OpenType corrisponde al peso 400."
release,versione,noun,
repository,repository,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
"request ID","ID richiesta",noun,"da usare in contesti simili al tool per la gestione dei dati (esportazione/cancellazione dati) "
"request ID","richiedi ID",verb,"se nella stringa request è da intendersi come verbo "
requested,richiesto,noun,"ALTRA POSSIBILE TRADUZIONE: obbligatorio
Verificare il contesto in fase di traduzione"
required,necessario,adjective,
"required plugin","plugin richiesto",expression,
"required plugins","plugin richiesti",expression,
reset,reimposta,verb,
"reset button","pulsante reimposta",expression,
resolve,correggi,verb,"Testo del pulsante per correggere del contenuto HTML in Gutenberg"
"resolve block","correggi blocco",noun,"Titolo della schermata per correggere del contenuto HTML in Gutenberg"
responsive,"responsive ",adjective,"Invariato; nel senso di ”che si adatta a ogni dispositivo”"
return,restituisci,verb,"ALTRE POSSIBILI TRADUZIONI: ritornare (quando riferito ad esempio all'azione di tornare alla schermata iniziale, precedente,...)"
return,return,noun,"Quando è usato nel senso di tasto, lasciare invariato."
"rich text","rich text",expression,"quando si riferisce alla formattazione/elaborazione di un testo"
role,ruolo,noun,
row,"disponi in riga",verb,"(""verbo"") nel contesto dell'interfaccia dell'editor, riferito all'azione di poter disporre più blocchi in riga"
"RSS Feed","Feed RSS",expression,
"RSS feed","feed RSS",noun,
save,salva,verb,
schedule,programma,verb,
scheduled,programmato,noun,
screen,schermata,noun,"Il termine è a volte usato per intendere una schermata e non lo schermo di un device. È importante quindi notare il contesto in cui si opera la traduzione"
screen,schermo,noun,
"screen reader","screen reader",noun,"Non tradurre"
screenshot,screenshot,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
"search page","pagina di ricerca",expression,
"search results","risultati della ricerca",noun,
"search results for","risultati della ricerca per",noun,
"self hosted",esterno,noun,
"semi bold",semigrassetto,noun,"Quando riferito al peso (spessore) del font. Nelle specifiche OpenType corrisponde al peso 600."
"semi light",semichiaro,noun,"Quando riferito al peso (spessore) del font. Nelle specifiche OpenType corrisponde al peso 350."
semi-bold,semigrassetto,noun,"Quando riferito al peso (spessore) del font. Nelle specifiche OpenType corrisponde al peso 600."
semi-light,semichiaro,noun,"Quando riferito al peso (spessore) del font. Nelle specifiche OpenType corrisponde al peso 350."
"seo friendly","orientato alla SEO",expression,
server,server,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale.
"
setting,impostazione,noun,
setup,configurazione,noun,
share,condivisione,noun,
sharing,condividi,verb,
shipping,spedizione,noun,
shop,negozio,noun,"valido sia per negozi online che per negozi fisici"
shortcode,shortcode,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
shortcut,scorciatoia,noun,
sidebar,"barra laterale",noun,
site,sito,noun,
"site editor","editor del sito",expression,
sitewide,"tutto il sito",noun,
skin,"variante colore",noun,"Si trova principalmente, anche se non solo, nei temi e si riferisce alla variante colore generale del tema"
"skip link","skip link",noun,"Non tradurre"
slide,scorri,verb,
slide,slide,noun,"Utilizzare presentazione (nome) quando indica tutte le slide, da slideshow.
Utilizzare scorrimento (nome) quando indica l’effetto grafico di scorrimento o l’azione di scorrimento; dovrà essere accompagnato da altri sostantivi in modo da mantenere l'omogeneità nella traduzione, stesso discorso nel caso si utilizzasse il verbo - tutti sostantivi o tutti verbi."
slug,slug,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
"solid color","tinta unita",expression,
sorry,"NON SI TRADUCE",noun,"Nelle frasi che iniziano con Sorry come ad esempio ""Sorry, you don't have pemissionsr"" nella traduzione in italiano NON ha senso riportare il ""Mi spiace"" non essendo di uso comune nei messaggi inviati da un computer. Eliminarlo e tradurre la frase senza il ""Mi spiace""."
"Sorry, you are not allowed to","Non hai i permessi per",expression,
spam,spam,noun,"Lasciare invariato. Declinare al maschile.
"
spotlight,"in risalto",noun,"Se riferito a spotlight mode dell'editor di WordPress"
"spotlight mode","modalità in risalto",noun,
stack,"disponi in colonna",verb,"nel contesto dell'interfaccia dell'editor, riferito all'azione di poter disporre più blocchi in colonna"
standalone,indipendente,adjective,
sticky,"in evidenza",noun,"riferito a un articolo"
"sticky header","header fisso",expression,"riferito al comportamento dell’header quando si scorre la pagina"
stopwords,stopword,noun,"Lasciare invariato. Declinare al femminile. In italiano non si riportano le s del plurale."
string,stringa,noun,
stylesheet,"foglio di stile ",noun,
submit,invia,verb,
"submit button","pulsante di invio",expression,
subscription,abbonamento,noun,
