en,pl,pos,description
"pass as argument","podawać jako argument (funkcji)",verb,
pattern,wzorzec,noun,
permalink,"bezpośredni odnośnik",noun,
"persistent cache","trwała pamięć podręczna",noun,
"please try a again","proszę spróbować ponownie",noun,
plugin,wtyczka,noun,
POS,"punkt kasowy",expression,"Uwaga, np. ""POS Terminal"" to terminal kard płatniczych, generalnie hasło POS mocno zależy od kontekstu."
post,wpis,noun,
"post format","format wpisu",noun,
"post type","typ treści",noun,"stare, nieaktualne tłumaczenie: typ wpisu"
posts,wpisy,noun,
preview,podgląd,noun,
preview,podejrzyj,verb,
protected,zabezpieczony,adjective,
pullquote,wtrącenie,noun,
"Query block","blok zapytania",expression,
rating,ocena,noun,"klasyfikacja, jeśli np. jakichś treści, które mogą być nieodpowiednie; ocena, jeśli czegoś, czemu np. przyznaje się ileś gwiazdek"
"Read more","Dowiedz się więcej",expression,
reflect,"mieć wpływ",verb,
release,wydanie,noun,
remove,usuwać,verb,"kiedy już naprawdę nie da się inaczej, może być i ""kasować"" :)"
"reusable block","blok wielokrotnego użycia",expression,
revision,wersja,noun,
screen,ekran,noun,
"secret key","klucz prywatny",noun,
security,zabezpieczenia,noun,
"security release","wydanie z poprawkami błędów w zabezpieczeniach",noun,
"Select bulk action","Wybierz masowe działanie",expression,
"service provider","dostawca usług",noun,
sidebar,"panel boczny",noun,
site,witryna,noun,
slider,"pokaz slajdów",noun,
slug,"uproszczona nazwa",noun,"uproszczona nazwa czegoś, np. post slug to uproszczona nazwa wpisu używana w odnośnikach"
"Sorry, you are not allowed to","Brak uprawnienia do",expression,"W Polsce nie używa się ""sorry"". To typowe dla angielskiego ale nie polskiego, chyba że systemowi jest naprawdę kogoś szkoda…"
"speculation rule","reguła przewidywania",expression,
"State of the Word","Stan Słowa",noun,"Nazwa dorocznego wystąpienia Matta"
static,statyczny,adjective,
sticky,przypięty,noun,
"Style Book","księga stylów",noun,
stylesheet,"arkusz stylów",noun,"(nie stylu)"
subclass,podklasa,noun,
submenu,podmenu,noun,
support,"pomoc techniczna",noun,
support,wspierać,verb,
support,obsługiwać,verb,
"support forum","forum wsparcia",noun,
tagline,slogan,noun,
"template part","fragment szablonu",noun,
term,taksonomia,noun,
testimonial,referencja,noun,
"text direction","kierunek pisania",noun,"(nie tekstu)"
"the resource",zasób,noun,
theme,motyw,noun,
thumbnail,miniaturka,noun,
trash,kosz,noun,
trash,"przenosić do kosza",verb,
tutorial,poradnik,noun,
"Twenty Twenty-Five","Dwadzieścia Dwadzieścia-Pięć",noun,"Nazwa motywu"
type,rodzaj,noun,
unique,unikatowy,noun,"UWAGA! Nie ""unikalny"", bo to przymiotnik odczasownikowy - od czasownika ""unikać""."
URL,"adres URL",noun,
video,film,noun,
view,zobacz,verb,
visit,"przejdź na",verb,"np. przejdź na witrynę [WordPress często zachęca do ""odwiedzenia"" własnej witryny po wprowadzeniu na niej jakichś zmian, ale odwiedziny składa się raczej komuś innemu, dlatego wyjątkowo ""przejdź"", jeśli chodzi o naszą witrynę]"
vivid,jaskrawy,adjective,
website,"witryna internetowa",noun,
widget,widżet,noun,
"You are about to",Zamierzasz,expression,
"you do not have permission","brak uprawnień",noun,
your,twój,noun,"Proszę nie kapitalizować zaimków osobowych, więcej: https://sjp.pwn.pl/poradnia/haslo/zaimki-w-zwrotach-do-czytelnika;12352.html"
