en,nl,pos,description
deprecated,verouderd,noun,"Wordt gebruikt als een functie of call niet meer gebruikt wordt."
depreciated,"niet meer ondersteund",noun,"In samenhang met een functie, die verwijderd wordt/niet meer gebruikt"
description,beschrijving,noun,
descriptions,beschrijvingen,noun,
detail,detail,noun,"Dus geen ""gegeven"""
device,apparaat,noun,
devices,apparaten,noun,
directory,folder/directory,noun,"Als het gaat om wp-content e.d.. Als het om een databank met b.v. adres gegevens gaat is het directory"
dismiss,negeren,verb,
"displays [location]","wordt [op locatie] getoond. ",expression,"Voorbeeld 1: Displays below the content area. > Wordt onder de inhoud getoond.
Voorbeeld 2: Displays to the right of the logo. > Wordt rechts van het logo getoond."
download,download,verb,
downloaded,gedownload,verb,
downloading,downloaden,verb,
downloads,downloads,noun,
draft,concept,noun,
"drag and drop",verslepen,verb,
dropdown,dropdown,noun,"en dropdown-menu."
dropdowns,dropdowns,noun,
"e commerce",e-commerce,noun,"Met koppelstreepje, dus niet eCommerce of ecommerce. Alleen als het voorkomt in een plugin of thema naam, dan behouden we het origineel."
e-commerce,e-commerce,noun,"Met koppelstreepje, dus niet eCommerce of ecommerce. Alleen als het voorkomt in een plugin of thema naam, dan behouden we het origineel."
ecommerce,e-commerce,noun,"Met koppelstreepje, dus niet eCommerce of ecommerce. Alleen als het voorkomt in een plugin of thema naam, dan behouden we het origineel."
edit,bewerk/bewerken,verb,"Indien knoptekst houden we het kort dus ""Bewerk"", anders past de tekst vaak niet"
editing,bewerken,verb,"GlotPress doet een partial search, dus levert een foute indicatie op"
edition,editie,noun,"GlotPress geeft een valse positief op dit woord, omdat het denkt dat het edit is"
editor,editor/redacteur,noun,"De text editor blijft de editor.
Een desktop text editor wordt tekstbewerker.
De rol editor wordt redacteur."
email,e-mail,noun,"In de Nederlandse taal is het gebruikelijk om een koppelstreep na de 'e' te plaatsen."
"email address",e-mailadres,noun,
emails,e-mails,noun,
embed,insluiten,verb,
embedded,ingesloten,noun,
endpoint,endpoint,noun,"Als het gaat om een REST API-endpoint."
error,fout,noun,
"error message",foutmelding,expression,"message hier dus niet vertalen als ""bericht"""
"error messages",foutmeldingen,expression,
errors,fouten,noun,
etc.,enz.,interjection,
excerpt,samenvatting,noun,
"excerpt view","samenvatting weergave",expression,
expression,uitdrukking,noun,
"featured image","uitgelichte afbeelding",expression,
"featured media","uitgelichte media",expression,
"Field Guide","Field Guide",expression,
"filter by",filteren,verb,
flip,spiegelen,verb,
"focus keyphrase","focus keyphrase",noun,
folder,map,noun,
folders,mappen,noun,
font,lettertype,noun,
"Font Awesome","Font Awesome",noun,"is een merknaam, die door Glotpress vaak fout wordt aangegeven"
"font face","font face",noun,"Vertalen we niet."
fonts,lettertypen,noun,
footer,footer,noun,
footers,footers,noun,
format,format,noun,
formats,formats,noun,"Geen formaten als het om de opbouw van bericht gaat"
forums,forums,noun,
"front page",voorpagina,noun,
frontend,front-end,noun,
frontpage,voorpagina,noun,
"Full Site Editing","Full site editing",noun,"Nieuwe technische term vanaf WP 5.9. We houden het Engelse aan."
galleries,galerijen,noun,
gallery,galerij,noun,
"gift card",cadeaubon,expression,
"Google Fonts","Google Fonts",noun,"Fonts niet vertalen, want Google Fonts is een merknaam"
header,header,noun,
"header image",kopafbeelding,noun,
headers,headers,noun,
heading,koptekst,noun,
headings,kopteksten,noun,
headline,kopregel,noun,
headlines,kopregels,noun,
heartbeat,heartbeat,noun,"technische term"
"home page",homepage,noun,"Volgens woordenboek is homepagina ook goed, alleen voor consistentie gebruiken we homepage."
homepage,homepage,noun,
hover,hoveren,verb,
icon,icoon,noun,
icons,iconen,noun,
image,afbeelding,noun,
images,afbeeldingen,noun,
importer,importeerfunctie,noun,
"input field",invoerveld,noun,
interjection,tussenwerpsel,noun,
invalid,ongeldig,adjective,
item,item,noun,"Niet vertalen als""artikel"" want daar hebben we het woord ""article"" voor in het Engels. "
items,items,noun,
"j M Y @ H:i","j M Y",expression,"Standaard nemen we de verkorte versie"
key,sleutel,noun,
keyphrase,keyphrase,noun,
keys,sleutels,noun,
keyword,keyword,noun,
keywords,keywords,noun,
layout,lay-out,noun,
layouts,lay-outs,noun,
"lazy load",lazy-load,noun,"Wordt niet vertaald maar opgemaakt zoals lay-out"
"lazy loaded",lazy-loaded,noun,
"lazy loading",lazy-loading,noun,
"learn more","lees verder",noun,"Komt beter over als ""leer meer"""
"license key",licentiesleutel,noun,
likes,vind-ik-leuks,expression,
limit,beperken,verb,"REST API-specifieke vertaling."
"line height",regelafstand,expression,
link,link,noun,
links,links,noun,
"list view",lijstweergave,expression,
location,locatie,noun,"Met een c, niet met een k."
locations,locaties,noun,
log,log,noun,"Blijft log en geen logboek!"
"log file",logbestand,noun,
login,login,noun,"niet omkeren naar inlog vanwege consitentie"
logins,logins,noun,
logout,uitloggen,noun,"Dus geen afmelden"
logs,logs,noun,
"main menu",hoofdmenu,noun,
major/minor,grote/kleine,noun,"major/minor updates"
margin,marge,noun,
masonry,masonry,noun,"Is een term wordt dus niet vertaald met metselwerk!"
"media file",mediabestand,noun,"In de Nederlandse taal is dit één woord. We schrijven dit niet los."
menu,menu,noun,
menu-item,menu-item,noun,"Is een begrip wordt niet vertaald"
menus,menu's,noun,
message,bericht,noun,"en dus geen melding"
messages,berichten,noun,
"meta description","meta description",noun,
modal,modal,noun,"Is technische term dus niet vertalen"
"multiline textarea","tekstveld met meerdere regels",noun,
namespace,namespace,noun,"technische term, vertalen we niet"
note:,"let op:",expression,"In het geval van een waarschuwing gebruiken we de vertaling 'Let op:'. 
Gaat het slechts om neutrale informatie, dan vertalen we 'Note:' met 'Opmerking:'."
notice,bericht,noun,
notices,berichten,noun,
notification,melding,noun,
notifications,meldingen,noun,
noun,"zelfstandig naamwoord",noun,
object,object,noun,"In de context van het variabele-type of JSON-object."
"open source","open source",noun,
order,rangschikken,verb,"Afhankelijk van de context kan dit werkwoord meerdere betekenissen hebben."
order,volgorde,noun,"Afhankelijk van de context"
order,bestelling,noun,"Afhankelijk van de context"
order,bestellen,verb,"Afhankelijk van de context kan dit werkwoord meerdere betekenissen hebben."
order,om,expression,"Dit is nodig om ""in order to"" eenduidig te vertalen."
orders,bestellingen,noun,
P.S,PS,noun,"Postscriptum wordt in het Nederlands aan elkaar in hoofdletters geschreven."
padding,padding,noun,"css term"
paddings,paddings,noun,
page,pagina,noun,
"page break",pagina-einde,noun,
pages,pagina's,noun,
panel,paneel/scherm,noun,"Afhankelijk van de context is het paneel of scherm"
panels,panelen/schermen,noun,
parent,hoofd,noun,
password,wachtwoord,noun,
placeholder,plaatshouder,noun,"dus geen tijdelijke tekst"
placeholders,plaatshouders,noun,
plugin,plugin,noun,"En geen plug-in."
"plugin directory","plugin directory",expression,"Wordt niet vertaald als het gaat om vertaling van de core v.w.b. het plaatsen van plugins door ontwikkelaars. Anders wordt directory wel vertaald met ""folder"" "
plugins,plugins,noun,
popup,pop-up,noun,
post,bericht,noun,
"post format","bericht format",noun,"Deze woorden mogen niet aan elkaar geschreven worden volgens alle spelling checkers"
"post type",berichttype,noun,
posts,berichten,noun,
preposition,voorzetsel,noun,
preview,voorbeeld,noun,
pronoun,voornaamwoord,noun,
purge,opschonen,verb,"alternatief is zuiveren, het is dus geen verwijderen"
"push notification",berichtgeving,noun,
"push notifications",berichtgevingen,noun,
rating,waardering,noun,"Is geen beoordeling, het gaat om het uitdrukken in een waarde e.g.sterren. Je kunt in een zin zowel review als rating hebben. Oftewel je je beoordeeld een project en waardeert het met een cijfer of sterren."
ratings,waarderingen,noun,"is geen beoordeling want dat is review, het gaat om het uitdrukken in waarde e.g. sterren"
reactivate,"opnieuw activeren",verb,
refresh,verversen,noun,
refunded,terugbetaald,adjective,
"release notes",releaselog,noun,
relist,"toevoegen aan lijst",expression,
remove,verwijderen,verb,
removed,verwijderd,verb,
report,rapport,noun,
reports,rapporten,noun,
request,aanvraag,noun,"REST API-specifieke vertaling."
requests,aanvragen,noun,
reset,reset,verb,
resize,"formaat aanpassen",noun,"Dit kan beide kanten op zijn, dus vergroten of verkleinen (dus geen verkleinen gebruiken)"
resource,gegevensbron,noun,
resources,gegevensbronnen,noun,
response,reactie,noun,"REST API-specifieke vertaling."
responses,reacties,noun,
responsive,responsive,adjective,
"REST API","REST API",noun,"Moet zonder ""-"" zijn "
restore,terugzetten,verb,
"result set",resultaten,expression,"REST API-specifieke vertaling."
review,beoordeling,noun,
review,beoordelen,verb,
reviews,beoordelingen,noun,
rotate,roteren,verb,
run,tegenkomt,noun,"run is tegenkomen als het niet om het uitvoeren gaat"
run,uitvoeren,verb,"Soms 'draaien', zoals: op 'internet meedraaien' en soms 'gebruikt' zoals in: 'je gebruikt versie 4.6'"
save,opslaan,verb,"Let wel op context"
save,bespaar,verb,
saved,opgeslagen,noun,"Let wel op context"
saved,bespaart,noun,
"screen options",scherminstellingen,noun,
screenshot,schermafbeelding,noun,
screenshots,schermafbeeldingen,noun,
search,zoeken,verb,
search,zoekopdracht,noun,"normaal zoeken behalve als het een opdracht is"
"search engine",zoekmachine,noun,
"search engines",zoekmachines,noun,
"search results",zoekresultaten,noun,
searches,zoekopdrachten,noun,
searching,"aan het zoeken",verb,"zoeken alleen is hier niet de juiste vertaling"
secret,geheim,noun,"In context van 'key' vertalen naar 'geheime sleutel'.
In context van 'login' of ID vertalen naar 'wachtwoord'."
"secret key","geheime sleutel",expression,
select,selecteren,verb,
select,selecteer,noun,"Voorkomt irritante melding bij vertalen. Daar waar mogelijk gebruiken we de hele werkwoordsvorm. 'Select post' wordt in dit geval 'Bericht selecteren'."
selected,geselecteerd,verb,"GlotPress vergelijkt niet strikt, dus de aanduiding past niet bij dit woord "
selecting,selecteren,verb,
selection,selectie,verb,
sending,verzenden,verb,
sent,verzonden,verb,
separator,scheidingsteken,noun,"Als het om een teken of karakter gaat, is het scheidingsteken. Afhankelijk van context kan het ook een verwijzing zijn naar een lijn zijn, in dat geval is scheidingslijn ook geldig."
separators,scheidingstekens,noun,
setup,setup,noun,"Let op de content, anders beschouwen als technische term. Dus niet vertalen"
"shopping cart",winkelwagen,noun,"Niet verkleinen naar winkelwagentje, het symbool is van een winkelwagen"
sidebar,zijbalk,noun,
sidebars,zijbalken,noun,
site,site,noun,"Geen website of blog"
"Site Editor",Site-editor,noun,"De Site-editor is een begrip net als Customizer. Voor de duidelijkheid gebruiken we één hoofdletter. "
"site health",sitediagnose,expression,"In het verleden is gekozen voor: Site health is sitediagnose 
Vervolgens wordt  het ook
sitediagnosestatus
sitediagnosecontrole
sitediagnosetest"
"site logo","site logo",noun,
sites,sites,noun,"dus geen site's"
slider,slider,noun,
sliders,sliders,noun,
slug,slug,noun,
"social media","sociale media",noun,
sticky,sticky,noun,
string,string,noun,"Niet vertalen naar 'tekenreeks' dus"
strings,strings,noun,
"Style Book",stijlgids,expression,
subheading,subkop,noun,
tab,tab,noun,"Meervoud tabs"
tabs,tabs,noun,
tag/tagged,tag/getagd,verb,
tagline,slogan,noun,
tap,tikken,verb,
template,template,noun,
templates,templates,noun,
testimonial,aanbeveling,noun,
testimonials,aanbevelingen,noun,
"Thank you",Bedankt,noun,
theme,thema,noun,
themes,thema's,noun,
thread,thread,noun,"Technische term"
threads,threads,noun,
thumbnail,thumbnail,noun,
thumbnails,thumbnails,noun,
"time format",tijdnotatie,noun,
timestamp,tijdstempel,noun,
"to add","toe te voegen",noun,
toggle,toggle,noun,"Wordt niet vertaald omdat er in het Nederlands verschillende woorden voor zijn afhankelijk van de content"
toolbar,toolbar,noun,
tools,gereedschap,noun,"Voor het hoofdmenu Tools, maar ook alle aanverwante verwijzingen gebruiken we het woord gereedschap."
topic(s),onderwerp(en),noun,
tracking,volgen,verb,"Wel opletten op context kan ook zijn volging"
trash,prullenbak,noun,
unapprove,weigeren,verb,
unapproved,geweigerd,verb,
update,update,noun,
update,updaten,verb,"Het is 'updaten' als volledig werkwoordsvorm. In enkele gevallen wordt 'geüpdate' gebruikt."
updated,geüpdatet,verb,
updates,updates,noun,
updating,updaten,verb,
verb,werkwoord,noun,
view,bekijk/bekijken,verb,"Dit kan gebruikt worden in de context als 'View site'. Vertaling is in dit geval: 'Site bekijken'."
view,weergave,noun,
viewed,bekeken,noun,
views,weergaven,noun,
"visual editor","visuele editor",noun,
"web browser",webbrowser,noun,
website,site,noun,"eenduidig maken t.o.v. site"
websites,sites,noun,
"widget area","widget gebied",expression,
WooCommerce,WooCommerce,noun,"Grote W en C"
WordCamp,WordCamp,noun,"Capital W & C"
WordPress,WordPress,noun,"Grote W en P"
"WordPress core","WordPress core",noun,"we vertalen core niet"
you,je,noun,"En geen jij of u. Voor de Nederlandse vertaling gebruiken we informeel taalgebruik."
"you are not allowed to","je hebt geen toestemming om",expression,
your,je,noun,"En geen jouw of uw. Voor de Nederlandse vertaling gebruiken we informeel taalgebruik."
