en,ar,pos,description
GUID,"مُعرِّف (GUID)",abbreviation,"في سياق مصطلح Globally Unique Identifier"
Gutenberg,Gutenberg,noun,
Header,ترويسة,noun,
Headers,ترويسات,noun,
Heading,عنوان,noun,
Headings,عناوين,noun,
height,ارتفاع,noun,
hidden,مخفي,adjective,
hierarchical,هرمي,adjective,
Hierarchy,"تسلسل هرمي",noun,
"Home Page","الصفحة الرئيسية",noun,
Homepage,"الصفحة الرئيسية",noun,
Hook,خُطاف,noun,
Hostname,"اسم المُضيف",noun,
howdy,مرحبًا,expression,
HTML,HTML,abbreviation,
"human readable","قابل للقراءة",expression,
Icon,أيقونة,noun,
Icons,أيقونات,noun,
ID,مُعرِّف,abbreviation,"في سياق المفتاح الفريد لتعريف الأشياء"
insert,إدراج,verb,
Insights,رؤى,noun,
Instagram,انستغرام,noun,
Install,تنصيب,noun,
invalid,"غير صالح",adjective,"بصيغة المذكر"
invalid,"غير صالحة",adjective,"بصيغة المؤنث"
Jetpack,Jetpack,noun,"WordPress.org plugin - https://jetpack.me/"
Keyphrase,"عبارة مفتاحية",noun,
Keyphrases,"عبارات مفتاحية",noun,
Keyword,"كلمة مفتاحية",noun,
Keywords,"كلمات مفتاحية",noun,
Layout,تخطيط,noun,
Layouts,تخطيطات,noun,
Left,يسار,noun,"في سياق الإشارة لإتجاه"
Left,يمين,noun,"في سياق توضيح إتجاه شئ معين على واجهة المستخدم، نظرًا لأن الواجهة العربية من اليمين-إلى-اليسار، فمعظم العناصر التي كانت على اليسار في النسخة الإنجليزية تصبح على اليمين."
Link,رابط,noun,
Links,روابط,noun,
Location,مكان,noun,
Logo,شعار,noun,
Loop,حلقة,noun,
"M d, g:ia","j F، g:ia",noun,"صيغة التاريخ المناسبة بالعربية مع الوقت"
"M j, Y","j F، Y",noun,"الصيغة الثانية للتاريخ المناسبة بالعربية"
"M j, Y @ G:i","j F، Y @ G:i",noun,"صيغة التاريخ المناسبة بالعربية مع الوقت - G = hours in 24-hour format without leading zeros"
"M j, Y @ H:i","j F، Y @ H:i",noun,"صيغة التاريخ المناسبة بالعربية مع الوقت - H = hours in 24-hour format with leading zeros"
manual,يدوي,adjective,
Margin,هامش,noun,
Margins,هوامش,noun,
Media,وسائط,noun,
"Media Library","مكتبة الوسائط",noun,
Member,عضو,noun,
Menu,قائمة,noun,
Mobile,جوال,noun,
"Modern Design","تصميم عصري",noun,"Design with modern, contemporary aesthetic"
Multisite,"مُتعدد المواقع",noun,
MySQL,MySQL,noun,
Name,اسم,noun,"بدون همزة قطع"
Names,أسماء,noun,"مع همزة قطع"
Namespace,"مساحة الاسم (Namespace)",noun,"لكون المصطلح تقني وشائع في علوم الحاسوب والترجمة العربية له غير معروف كثيرًا، يحبذ ذكر المصطلح الإنجليزي بجانب الترجمة العربية."
"Navigation Menu","قائمة تنقل",noun,
"Navigation Menus","قوائم تنقل",noun,
Network,شبكة,noun,
Networks,شبكات,noun,
oEmbed,oEmbed,noun,"Format name"
official,رسمي,adjective,
Opacity,عتامة,noun,"لمعلومات أكثر حول مصطلح العتامة::
https://ar.wordpress.org/support/?p=1285"
Option,خيار,noun,"مفرد خيارات"
optional,اختياري,adjective,
Options,خيارات,noun,
Owner,مالك,noun,
Page,صفحة,noun,
"Page Cache","ذاكرة التخزين المؤقت للصفحات",noun,
Palette,"لوحة الألوان",noun,
Parameter,مُعامل,noun,
Parameters,مُعاملات,noun,
"Parent Page","صفحة أم",noun,"نستخدم أم بدلاً من أب، لأن كلمة ""صفحة"" مؤنثة."
"Parent Term","عنصر أب",noun,
Password,"كلمة مرور",noun,
paste,لصق,verb,
Pattern,نمط,noun,
Patterns,أنماط,noun,
Permalink,"رابط دائم",noun,
Permalinks,"روابط دائمة",noun,
permanently,"بشكل دائم",adverb,
Permission,صلاحية,noun,"في سياق الرتب والتحكم بصلاحية المستخدمين على تنفيذ إجراءات معينة."
Permissions,صلاحيات,noun,"في سياق الرتب والتحكم بصلاحية المستخدمين على تنفيذ إجراءات معينة."
permitted,مسموح,adjective,
"Persistent Object Cache","ذاكرة التخزين المؤقت للكائنات الثابتة",noun,
personal,شخصي,adjective,"بصيغة المذكر"
personal,شخصيّة,adjective,"بصيغة المؤنث"
Photo,صورة,noun,
PHP,PHP,noun,"Programming Language Name"
Pingbacks,تنبيهات,noun,
Pixel,بكسل,noun,
Playlist,"قائمة تشغيل",noun,
Plugin,إضافة,noun,
"Plugin Author","مطور الإضافة",noun,
"Plugin Directory","دليل الإضافات",noun,
Plugins,إضافات,noun,
popular,"شائعة، شعبية، شهيرة",adjective,
Post,مقالة,noun,
"Post Format","صيغة المقال",noun,"في سياق ميزة ""Post Formats"".


قبل ووردبريس 6.1، كانت تُسمى ""بنية المقالة"". تم تغييرها لزيادة تناسق الترجمات وتوضيح المعنى بشكل أسهل."
"Post Formats","صيغ المقال",noun,"في سياق ميزة ""Post Formats"".


قبل ووردبريس 6.1، كانت تُسمى ""بُنى المقال"". تم تغييرها لزيادة تناسق الترجمات وتوضيح المعنى بشكل أسهل."
"Post Type","نوع محتوى",noun,
"Post Types","أنواع محتوى",noun,
Posts,مقالات,noun,
Preference,تفضيل,noun,
Preferences,تفضيلات,noun,
Prefix,بادئة,noun,
premium,مميّز,adjective,"As in “Premium Plan”"
press,اضغط,verb,
"Press This","انشر هذا",verb,"WordPress tool name"
Preview,معاينة,noun,
"Primary Domain","نطاق أساسي",noun,
Privacy,خصوصية,noun,
private,خاص,adjective,
Problem,مشكلة,noun,
Problems,مُشكلات,noun,
"Production Environment","البيئة التشغيلية",noun,"Environment types"
Profile,"ملف شخصي",noun,
protected,محمي,adjective,
"public facing","موجّه للعامة",expression,
Queries,استعلامات,noun,
Query,استعلام,noun,
random,عشوائي,adjective,
"Rank Math","رانك ماث",noun,
recent,أحدث,adjective,
Registration,تسجيل,noun,
Relationship,علاقة,noun,
Release,إصدار,noun,
remove,إزالة,verb,
Reply,رد,noun,
required,مطلوب,adjective,
REST,REST,abbreviation,"In context of REpresentational State Transfer"
Result,نتيجة,noun,
Results,نتائج,noun,
Revision,مراجعة,noun,
Right,يمين,noun,"في سياق الإشارة لإتجاه"
Right,يسار,noun,"في سياق توضيح إتجاه شئ معين على واجهة المستخدم، نظرًا لأن الواجهة العربية من اليمين-إلى-اليسار، فمعظم العناصر التي كانت على اليمين في النسخة الإنجليزية تصبح على اليسار."
Role,دور,noun,"في سياق المهمة الوظيفية التي تُعطى للمستخدم.


قبل ووردبريس 6.0، كانت الكلمة تتُرجم كـ ""رتبة"" في نفس السياق. تم تغيير الترجمة تماشيًا مع الترجمات للأنظمة الاخرى."
Roles,أدوار,noun,"في سياق المهام الوظيفية التي تُعطى للمستخدم.


قبل ووردبريس 6.0، كانت الكلمة تتُرجم كـ ""رتب"" في نفس السياق. تم تغيير الترجمة تماشيًا مع الترجمات للأنظمة الاخرى."
"Save Changes","حفظ التغييرات",expression,
Screen,شاشة,noun,
Screenshot,"لقطة شاشة",noun,
Screenshots,"لقطات شاشة",noun,
search,بحث,verb,
"Search Terms","مصطلحات بحث",noun,
Server,خادم,noun,
Session,جلسة,noun,
Sessions,جلسات,noun,
Settings,إعدادات,noun,
SFTP,"بروتوكول نقل الملفات الآمن (SFTP)",abbreviation,"في سياق SSH File Transfer Protocol"
Share,مشاركة,noun,
Shares,مشاركات,noun,
Shortcode,"كود قصير",noun,
Sidebar,"شريط جانبي",noun,
Sidebars,"أشرطة جانبية",noun,
"Single Sign-On","تسجيل الدخول الموحد",noun,
Site,موقع,noun,
Size,حجم,noun,
Slug,"اسم لطيف",noun,"في سياق الأسماء الملائمة للروابط الدائمة للمقالات، الصفحات، التصنيفات وغيرها."
Spam,مزعج,noun,
specified,مُحدد,adjective,
"Staging Environment","البيئة المرحلية",noun,"Environment types"
"Staging Site","موقع مرحلي",noun,
standard,قياسي,adjective,
Status,حالة,noun,
sticky,مثبّت,adjective,"لحالة المقالات المثبّتة"
Style,"تنسيق، أسلوب",noun,
Styles,"تنسيقات، أساليب",noun,
Subdirectory,"دليل فرعي",noun,
Subdirectory,"مجلد فرعي",noun,"ترجمة ممكنة عند الإشارة للمجلد الذي تُضع فيه الملفات."
Subdomain,"نطاق فرعي",noun,
Subsite,"موقع فرعي",noun,
"Super Admin","مدير عام",noun,
Tab,"علامة تبويب",noun,"في سياق الإشارة لعلامات التبويب في المتصفح.

يمكن اختصارها إلى تبويب إن كان السياق مناسبًا."
Tabs,"علامات تبويب",noun,"في سياق الإشارة لعلامات التبويب في المتصفح."
Tag,وسم,noun,
Tags,وسوم,noun,
Taxonomies,فئات,noun,
Taxonomy,فئة,noun,
Team,فريق,noun,
Template,"قالب / قوالب",noun,
Term,عنصر,noun,"In ""Taxonomy Terms"" context."
Terms,عناصر,noun,"In ""Taxonomy Terms"" context."
"Testing Environment","البيئة التجريبية",noun,"Environment types"
Text,نص,noun,
"Text Editor","محرر نصوص",noun,
Theme,قالب,noun,"In context of ""WordPress Themes"""
"Theme Author","مُطور القالب",noun,"In context of ""WordPress Themes"""
"Theme Directory","دليل القوالب",noun,"In context of ""WordPress Themes"""
Themeansar,ثيميانسار,noun,
Themes,قوالب,noun,"In context of ""WordPress Themes"""
"Thumbnail Image","صورة مُصغرة",noun,
Title,عنوان,noun,
Toolbar,"شريط أدوات",noun,
Topic,موضوع,noun,
Trackbacks,تعقيبات,noun,
transparent,شفاف,adjective,
Trash,"سلة مُهملات",noun,
Twitter,تويتر,noun,
Typography,"أسلوب طباعة",noun,
UI,"واجهة المستخدم (UI)",abbreviation,"في سياق مصطلح User Interface
يمكن عدم ذكر الاختصار الإنجليزي اذا كان السياق واضحاً نظرًا لشهرة المصطلح."
unauthorized,"غير مصرّح",adjective,
unavailable,"غير متاح",adjective,
Underscores,"شرطات سفلية",noun,
undo,تراجع,verb,
unexpected,"غير متوقع",adjective,
unique,فريد,adjective,
unknown,"غير معروف",adjective,
untitled,"بدون عنوان",adjective,
Update,تحديث,noun,
upload,رفع,verb,
URI,"مُعرِّف (URI)",noun,"في سياق Uniform Resource Identifier"
User,مستخدم,noun,"في معظم السياقات، ما عدا عند الإشارة للمستخدمين في الموقع، يمكن ترجمتها ""عضو""، نظرًا لعمر المصطلح وتناسبه في سياقات مختلفة على ووردبريس."
Username,"اسم المستخدم",noun,
Users,مستخدمين,noun,"في معظم السياقات، ما عدا عند الإشارة للمستخدمين في الموقع، يمكن ترجمتها ""أعضاء""، نظرًا لعمر المصطلح وتناسبه في سياقات مختلفة على ووردبريس."
UUID,"مُعرِّف (UUID)",abbreviation,"في سياق مصطلح Universally Unique Identifier"
valid,صالح,adjective,
Version,نسخة,noun,
Video,فيديو,noun,
Videos,"مقاطع فيديو",noun,
Visitor,زائر,noun,
Visitors,زوار,noun,
"Visual Editor","مُحرر مرئي",noun,
Web,ويب,noun,"في سياق مصطلح الشبكة العنكبوتية العالمية (World Wide Web)"
Webfont,"خط ويب",noun,
Webfonts,"خطوط ويب",noun,
Website,"موقع إلكتروني",noun,"يمكن اختصارها إلى ""موقع"" في حال كان السياق واضحاً. تم اختيار هذا المصطلح عوضًا عن ""موقع ويب"" نظرًا لكونه الأقدم والاكثر شهرة."
Weight,وزن,noun,
Widget,ودجت,noun,
Widgets,ودجات,noun,
Width,عرض,noun,
WordPress,ووردبريس,noun,"اسم مُذكر"
"you must","يجب عليك",expression,
"you should","ينبغي عليك",expression,
"your comment",تعليقك,expression,
"your email","بريدك الإلكتروني",expression,"في سياق الإشارة لعنوان البريد الإلكتروني."
"your homepage","صفحتك الرئيسية",expression,
"your inbox","بريدك الوارد",expression,
"your name",اسمك,expression,
"your role",دورك,expression,"في سياق الإشارة للدور المُسند للمستخدم"
"your website","موقعك الإلكتروني",expression,
Youtube,يوتيوب,noun,
