en,ja,pos,description
logout,ログアウト,verb,
match,一致,verb,
"media library",メディアライブラリ,noun,
"Media Uploader",メディアアップローダー,noun,
memory,メモリ,noun,
meta,メタ情報,noun,
meta,メタ,noun,
multisite,マルチサイト,noun,
"My Upgrades",アップグレード状況,noun,
"name server",ネームサーバー,noun,
nameserver,ネームサーバー,noun,
navigation,ナビゲーション,noun,
network,サイトネットワーク,verb,"https://goo.gl/pXLGEj 参照"
"next post",次の投稿,noun,
nonce,nonce,noun,
"not allowed to",する権限がありません,expression,
"not sticky",通常通り表示,adjective,投稿を先頭固定表示にしないステータス。
"numbered list",番号付きリスト,noun,
object,オブジェクト,noun,
"older post",過去の投稿,noun,
option,設定,noun,
option,オプション,noun,
outdent,インデントを戻す,verb,※「アウトデント」ではなく。
override,上書き,verb,※「オーバーライドする」ではなく。
page,ページ,noun,
page,固定ページ,noun,
pagination,ページ送り,noun,
parameter,パラメータ,noun,
permalink,パーマリンク,noun,
permission,権限,noun,
permission,パーミッション,noun,
ping,ピンバック,noun,
ping,ping,noun,
pingback,ピンバック,noun,
placeholder,プレースホルダー,noun,
"please try again",もう一度お試しください,expression,
plugin,プラグイン,noun,
poetry,詩,noun,"ただし、""Code is Poetry"" というフレーズの場合は訳さない"
poll,投票,noun,
Polldaddy,Polldaddy,noun,
post,投稿,noun,
post,投稿する,verb,
"post format",投稿フォーマット,noun,
"post status",投稿ステータス,noun,
"post thumbnail",投稿サムネイル,noun,
"post type",投稿タイプ,noun,
"Posted in",カテゴリー:,expression,テーマ内でカテゴリーリストが後に続いて使われた場合。
"Posted on",投稿日:,expression,テーマ内で日付が後に続いて使われた場合。
"Poster Image",ポスター画像,noun,"Gutenberg 用語"
preformatted,整形済み,adjective,
"Press This","Press This",noun,
"previous post",過去の投稿,noun,
profile,プロフィール,noun,ユーザーの情報を表示するプロフィール画面などを指す場合。
publish,公開する,verb,
query,クエリー,noun,
"Quick Post",クイックポスト,noun,
reader,読者,noun,
referrer,リファラー,noun,リンク元、参照元
registrar,登録業者,noun,
repository,リポジトリ,noun,
required,必須,adjective,
required,必要,adjective,
resolve,問題を解決する,noun,"(Gutenberg の場合) ブロックに発生した問題を解決すること"
responsive,レスポンシブ,adjective,
"return value",戻り値,noun,
"Reusable Block",再利用ブロック,verb,
"Reusable Template",再利用テンプレート,noun,"Gutenberg で保存したブロック"
Revision,リビジョン,noun,"投稿、固定ページなどの履歴管理機能。参照: https://ja.wordpress.org/support/article/revisions/"
role,権限グループ,noun,
RSS,RSS,noun,
screen,画面,noun,"※Screen Options は例外的に表示と訳出しています。"
"Screen Options",表示オプション,noun,
self-hosted,インストール型の,adjective,
separator,区切り,noun,"Gutenberg で保存したテンプレート (ブロックの組み合わせ)"
server,サーバー,noun,
sidebar,サイドバー,noun,
single,個別,noun,個別投稿、個別商品など
"single post",個別投稿,noun,
site,サイト,noun,
slug,スラッグ,noun,
"Sorry,"," ",expression,※この部分は翻訳しません。
spam,スパム,noun,
"spam filtering",スパムフィルター機能,noun,
"Spotlight mode",スポットライトモード,noun,"Gutenberg でのエディター表示モードの一つ"
status,状態,noun,
status,ステータス,noun,
stick,先頭に固定表示する,verb,
sticky,先頭固定表示,adjective,
strikethrough,打ち消し線,noun,
string,文字列,noun,
subpanel,サブパネル,noun,
Subscriber,購読者,noun,"権限グループのひとつ。参照: https://wpdocs.osdn.jp/Roles_and_Capabilities"
subtitle,字幕,noun,動画などの字幕
subtitle,サブタイトル,noun,副次的な見出し
Subversion,Subversion,noun,
"Super admin",特権管理者,noun,"マルチサイト全体の管理者。参照: http://bit.ly/2LXrzdb"
survey,アンケート,noun,
tag,タグ,noun,
tagline,キャッチフレーズ,noun,
taxonomy,タクソノミー,noun,例外で長音付き
"template hierarchy",テンプレート階層,noun,
term,キーワード,noun,"検索のコンテキストの場合 (= search term)"
term,ターム,noun,タクソノミーのコンテキストの場合。
term,項目,noun,
term,単語,noun,
term,語句,noun,
"text block",テキストブロック,noun,"Gutenberg のブロックタイプ"
"text editor",テキストエディター,noun,
theme,テーマ,noun,
thought,フィードバック,noun,"""%1$s thought on &ldquo;%2$s&rdquo;"" などの場合、コメントだけではなくピンバックを含むこともあるので「コメント」とは訳さない。Consistensy Tool に同じフレーズが存在する可能性があります。"
Toolbar,ツールバー,noun,
trackback,トラックバック,noun,
Transient,Transient,noun,
trash,ゴミ箱,noun,
trashed,ゴミ箱内の,adjective,
troubleshooting,トラブルシューティング,noun,
Twitter,Twitter,noun,
"two factor authentication ",2要素認証,noun,
"Two-Factor Authentication",2要素認証,noun,漢字ではなく数字の2で統一する。
"Unified toolbar",統合ツールバー,noun,"Gutenberg でのツールバー表示モードの一つ"
update,更新,noun,
update,更新する,verb,
upgrade,アップグレード,noun,
uploader,アップローダー,noun,
URI,URL,noun,
user,ユーザー,noun,
valid,正しい,adjective,
valid,有効,adjective,
verse,詩,noun,
video,動画,noun,
view,表示,verb,
view,ビュー,noun,ほとんどの場合は「表示」と訳すが、タブビューやリストビューなどの表示形式の慣用名などの例外ではこちらでも可。
"web server","Web サーバー",noun,"文頭でなくても W は大文字に統一する。単に「サーバー」としてもいい場合もある。"
website,サイト,noun,
WordCamp,WordCamp,noun,
WordPress,WordPress,noun,
"WordPress Dashboard","WordPress ダッシュボード",noun,
WordPress.com,WordPress.com,noun,
XML-RPC,XML-RPC,noun,
